City/Region,Attraction Name,Entrance Fee (KZT / USD),Opening Hours,Closed Days,Address,Google Maps Link,Distance from City Center (km / min),Parking / Shuttle Info,Top Photo Spots / Highlights,Short Description (for website),Seasonal Notes,Source / Verified Date
Astana Region,Baiterek Tower,2500 KZT / 4.5 USD,10:00–21:00,None,"Baiterek Square, Astana",https://www.google.com/maps/search/?api=1&query=Baiterek%20Tower%20Astana ,0–3 km / 5–10 min,Public parking nearby,Panoramic city views; observation deck; golden egg,Iconic monument and observation tower offering panoramic views of Astana.,Busy during holidays; ticketed observation deck.,"Needs verification - Nov 03, 2025"
Astana Region,Hazrat Sultan Mosque,Free,09:00–18:00 (visitors),None,"Hazrat Sultan Mosque, Astana",https://www.google.com/maps/search/?api=1&query=Hazrat%20Sultan%20Mosque%20Astana ,5 km / 15 min,Parking at mosque,Grand domes; interior mosaics,One of Central Asia's largest mosques with striking architecture.,Respectful dress required; limited visiting hours.,"Needs verification - Nov 03, 2025"
Astana Region,Palace of Peace and Reconciliation,1000 KZT / 2 USD,10:00–18:00,None,"Symbolic Square, Astana",https://www.google.com/maps/search/?api=1&query=Palace%20of%20Peace%20and%20Reconciliation%20Astana ,2 km / 10 min,Public parking nearby,Pyramid structure; cultural events,Pyramid-shaped cultural venue built for interfaith dialogue and concerts.,Event schedule varies.,"Needs verification - Nov 03, 2025"
Astana Region,Khan Shatyr Entertainment Center,Free entry to mall; attractions ticketed,10:00–22:00,None,"Khan Shatyr, Astana",https://www.google.com/maps/search/?api=1&query=Khan%20Shatyr%20Astana ,3 km / 10 min,Large mall parking,Indoor beach; shopping; rooftop view,Futuristic tent-like shopping and entertainment center with unique indoor spaces.,Family-friendly; best for bad-weather days.,"Needs verification - Nov 03, 2025"
Astana Region,EXPO 2017 Sphere (Nur Alem Museum),1200 KZT / 2.55 USD,10:00–19:00,None,"EXPO Park, Astana",https://www.google.com/maps/search/?api=1&query=Nur%20Alem%20Museum%20Astana ,5–10 km / 15–20 min,Park parking,Futuristic sphere; interactive exhibits,Sphere museum showcasing future tech and exhibitions from EXPO 2017.,Check exhibition schedule for temporary shows.,"Needs verification - Nov 03, 2025"
Astana Region,Astana Opera House,Ticketed (varying),Varies by performance,Varies by schedule,"Opera House, Astana",https://www.google.com/maps/search/?api=1&query=Astana%20Opera ,2–5 km / 10–15 min,Theatre parking,Facade; interior halls,Main opera and ballet house hosting national and international productions.,Event schedule determines opening hours.,"Needs verification - Nov 03, 2025"
Astana Region,Independence Square & Kazakh Eli Monument,Free,24/7,None,"Independence Square, Astana",https://www.google.com/maps/search/?api=1&query=Independence%20Square%20Astana ,2–5 km / 10–15 min,Street parking,Kazakh Eli Monument; fountains,Central ceremonial square with national monuments.,Public events occur; busy on national holidays.,"Needs verification - Nov 03, 2025"
Astana Region,Atameken Map of Kazakhstan Park,700 KZT / 1.49 USD,10:00–18:00,None,"Atameken, Astana",https://www.google.com/maps/search/?api=1&query=Atameken%20Map%20of%20Kazakhstan%20Park ,3–6 km / 10–20 min,Park parking,Miniature map; model landmarks,Open-air park containing scaled models of Kazakhstan’s landmarks.,Outdoor exposure; best in warm months.,"Needs verification - Nov 03, 2025"
Astana Region,Presidential Park & Ak Orda Viewpoint,Free,06:00–22:00,None,"Presidential Park, Astana",https://www.google.com/maps/search/?api=1&query=Presidential%20Park%20Ak%20Orda%20Astana ,4–8 km / 10–20 min,Public parking,Ak Orda view; riverside paths,Park near presidential residence with viewpoints across the river.,Restricted areas near official buildings.,"Needs verification - Nov 03, 2025"
Astana Region,Astana Grand Mosque (2023),Free,09:00–18:00,None,Astana Grand Mosque,https://www.google.com/maps/search/?api=1&query=Astana%20Grand%20Mosque%202023 ,3–8 km / 10–20 min,Parking at mosque,New architecture; prayer halls,"Large modern mosque opened 2023, notable for contemporary design.",Respectful dress required for visitors.,"Needs verification - Nov 03, 2025"
Astana Region,Burabay National Park (Borovoe),1500–2000 KZT / 3.19-4.26 USD,08:00–19:00,None,Burabay (Borovoe),https://www.google.com/maps/search/?api=1&query=Burabay%20National%20Park%20Borovoe ,250 km / 3 h,Park parking,Lakes; forested hills; Bukhta Bay,Popular national park with lakes and scenic hills 3 hours from Astana.,Seasonal activities; crowded on weekends.,"Needs verification - Nov 03, 2025"
